"bins","max","mid","min","LPT_area","MaxSSS_area","stage"
1,90,80,70,0,0,"Tithonian"
2,70,60,50,0,0,"Tithonian"
3,50,40,30,9588983.87507707,3088514.31855407,"Tithonian"
4,30,20,10,15680802.1574435,15680802.1574435,"Tithonian"
5,10,0,-10,6995523.27314998,6995523.27314998,"Tithonian"
6,-10,-20,-30,6570028.64729396,6570028.64729396,"Tithonian"
7,-30,-40,-50,4833353.22473846,1281127.64666765,"Tithonian"
8,-50,-60,-70,0,0,"Tithonian"
9,-70,-80,-90,0,0,"Tithonian"
1,90,80,70,0,0,"Toarcian"
2,70,60,50,0,0,"Toarcian"
3,50,40,30,10501845.7441094,4173073.89439324,"Toarcian"
4,30,20,10,11780563.3218008,11192874.0179445,"Toarcian"
5,10,0,-10,3930891.69223929,3930891.69223929,"Toarcian"
6,-10,-20,-30,5790528.24156861,5294658.39473039,"Toarcian"
7,-30,-40,-50,2437541.46940271,0,"Toarcian"
8,-50,-60,-70,0,0,"Toarcian"
9,-70,-80,-90,0,0,"Toarcian"
1,90,80,70,0,0,"Tortonian"
2,70,60,50,0,0,"Tortonian"
3,50,40,30,2265180.72694531,21229.9759651982,"Tortonian"
4,30,20,10,9802012.86124197,8820652.71192638,"Tortonian"
5,10,0,-10,10002720.953423,10002720.953423,"Tortonian"
6,-10,-20,-30,8437373.71959106,8351186.57130794,"Tortonian"
7,-30,-40,-50,5163328.18446195,1476860.15564645,"Tortonian"
8,-50,-60,-70,0,0,"Tortonian"
9,-70,-80,-90,0,0,"Tortonian"
1,90,80,70,0,0,"Turonian"
2,70,60,50,0,0,"Turonian"
3,50,40,30,9717702.98089749,4878208.21008884,"Turonian"
4,30,20,10,15518367.003928,15518367.003928,"Turonian"
5,10,0,-10,9274960.99447349,9274960.99447349,"Turonian"
6,-10,-20,-30,7173579.69658753,7117908.37339891,"Turonian"
7,-30,-40,-50,6379753.48501154,2246916.7243573,"Turonian"
8,-50,-60,-70,0,0,"Turonian"
9,-70,-80,-90,0,0,"Turonian"
1,90,80,70,0,0,"Valanginian"
2,70,60,50,0,0,"Valanginian"
3,50,40,30,3710792.22670564,1633772.64300457,"Valanginian"
4,30,20,10,15855778.6578081,15812890.8388522,"Valanginian"
5,10,0,-10,5194489.83466,5194489.83466,"Valanginian"
6,-10,-20,-30,5119308.85148178,5108586.89674279,"Valanginian"
7,-30,-40,-50,3291883.56476756,807699.507653012,"Valanginian"
8,-50,-60,-70,0,0,"Valanginian"
9,-70,-80,-90,0,0,"Valanginian"
1,90,80,70,0,0,"Ypresian"
2,70,60,50,0,0,"Ypresian"
3,50,40,30,7510241.67639979,2978505.71608309,"Ypresian"
4,30,20,10,16770609.5506681,16770609.5506681,"Ypresian"
5,10,0,-10,11123667.963636,11123667.963636,"Ypresian"
6,-10,-20,-30,4481381.46696355,4435273.63936643,"Ypresian"
7,-30,-40,-50,5113233.65058561,2099975.82979701,"Ypresian"
8,-50,-60,-70,0,0,"Ypresian"
9,-70,-80,-90,0,0,"Ypresian"
1,90,80,70,0,0,"Zanclean"
2,70,60,50,0,0,"Zanclean"
3,50,40,30,2671474.34424054,21229.9759651982,"Zanclean"
4,30,20,10,10928776.9074721,9381864.76384182,"Zanclean"
5,10,0,-10,11070331.9654219,10985052.8725902,"Zanclean"
6,-10,-20,-30,7512975.4671508,7469779.8393054,"Zanclean"
7,-30,-40,-50,3938227.71290799,1056077.81012249,"Zanclean"
8,-50,-60,-70,0,0,"Zanclean"
9,-70,-80,-90,0,0,"Zanclean"
