"bins","max","mid","min","sst","dem","stage"
2,70,60,50,1.00338405646589,6151238.35105389,"Langhian"
3,50,40,30,9.07046849308891,11545760.9951791,"Langhian"
4,30,20,10,22.9223901005418,9773225.63480324,"Langhian"
5,10,0,-10,28.6232045931829,8841762.25230621,"Langhian"
6,-10,-20,-30,25.6134452428439,8407892.18924828,"Langhian"
7,-30,-40,-50,17.1346571585711,6053257.34847334,"Langhian"
8,-50,-60,-70,5.14746349529914,3087719.59291708,"Langhian"
9,-70,-80,-90,1.29632366917652,2288989.50005462,"Langhian"
1,90,80,70,-1.62367301729844,5283213.76780246,"Lutetian"
2,70,60,50,2.30225872478902,8991120.17846769,"Lutetian"
3,50,40,30,15.7708077142856,15725641.8166496,"Lutetian"
4,30,20,10,27.2198556962904,18803251.9559768,"Lutetian"
5,10,0,-10,31.2132212375537,8561877.2849539,"Lutetian"
6,-10,-20,-30,26.2187180824914,4757445.94965076,"Lutetian"
7,-30,-40,-50,18.9386520233762,7029405.92327805,"Lutetian"
8,-50,-60,-70,6.83590816175084,6343622.14712813,"Lutetian"
9,-70,-80,-90,2.02305114229072,2249116.85382046,"Lutetian"
1,90,80,70,-1.24670118297891,4404262.4591963,"Maastrichtian"
2,70,60,50,1.08635715556289,8231815.57265387,"Maastrichtian"
3,50,40,30,15.146220551292,18000194.3456166,"Maastrichtian"
4,30,20,10,27.0152907015879,15801605.775542,"Maastrichtian"
5,10,0,-10,30.9022275499729,11818990.7165621,"Maastrichtian"
6,-10,-20,-30,27.5202054939722,8735099.80406436,"Maastrichtian"
7,-30,-40,-50,17.2612344273253,8073509.69245079,"Maastrichtian"
8,-50,-60,-70,4.02573711433008,7478025.81705224,"Maastrichtian"
9,-70,-80,-90,-0.394413079521992,2941057.18968047,"Maastrichtian"
1,90,80,70,-1.62159992532852,4237466.24333407,"Messinian"
2,70,60,50,0.775708856401829,6818900.6663557,"Messinian"
3,50,40,30,10.0676223025726,7886828.58790546,"Messinian"
4,30,20,10,24.2277523270969,10063505.0817017,"Messinian"
5,10,0,-10,29.2740898066173,10591713.1352088,"Messinian"
6,-10,-20,-30,25.3969479998275,7106755.83022028,"Messinian"
7,-30,-40,-50,15.9846670018045,5845764.9395458,"Messinian"
8,-50,-60,-70,3.95792680719864,2889622.99320635,"Messinian"
9,-70,-80,-90,0.251896758981888,2428602.23675216,"Messinian"
1,90,80,70,-1.67399727381193,2106164.36571583,"Norian"
2,70,60,50,7.16316687040594,8033784.94416914,"Norian"
3,50,40,30,17.6974615808716,9899234.24863299,"Norian"
4,30,20,10,25.7452530167884,10662892.9504802,"Norian"
5,10,0,-10,25.6848784709799,7095980.97295285,"Norian"
6,-10,-20,-30,21.2164128920611,7869557.61435741,"Norian"
7,-30,-40,-50,13.6073690823146,2050415.80543561,"Norian"
8,-50,-60,-70,0.0350330407243399,1870359.65603846,"Norian"
9,-70,-80,-90,-0.234640680272152,802848.41638548,"Norian"
1,90,80,70,0.964020273227358,4380345.11582012,"Oxfordian"
2,70,60,50,6.08057780894553,10117566.5524779,"Oxfordian"
3,50,40,30,17.5208751528628,15956530.269263,"Oxfordian"
4,30,20,10,28.0971514127479,16274104.5504363,"Oxfordian"
5,10,0,-10,31.2055376024704,6636710.11044477,"Oxfordian"
6,-10,-20,-30,25.1198707025892,8281178.61199518,"Oxfordian"
7,-30,-40,-50,14.7447752591491,8833351.95982005,"Oxfordian"
8,-50,-60,-70,5.0791283811159,3684651.95446491,"Oxfordian"
9,-70,-80,-90,-1.29597881368132,1906383.86355818,"Oxfordian"
1,90,80,70,-1.55927548215684,3226358.00487508,"Piacenzian"
2,70,60,50,0.0626717133603428,5545903.65014751,"Piacenzian"
3,50,40,30,9.86989829076071,8013327.9142629,"Piacenzian"
4,30,20,10,23.5331786263849,11192977.1387284,"Piacenzian"
5,10,0,-10,29.404625099474,11203608.3855479,"Piacenzian"
6,-10,-20,-30,25.8364682288476,6683409.12496406,"Piacenzian"
7,-30,-40,-50,16.1280989909123,4668355.09571488,"Piacenzian"
8,-50,-60,-70,2.42738760748144,2840832.36146813,"Piacenzian"
9,-70,-80,-90,-0.863415156069511,3093896.54716097,"Piacenzian"
1,90,80,70,-1.16437839044312,3037455.43926385,"Pliensbachian"
2,70,60,50,4.57611054422267,7950081.09830312,"Pliensbachian"
3,50,40,30,17.6055115437975,15713962.3168203,"Pliensbachian"
4,30,20,10,25.5307128240516,10582984.0399126,"Pliensbachian"
5,10,0,-10,28.0468721158421,4540856.33662743,"Pliensbachian"
6,-10,-20,-30,19.901005823545,5229777.55669295,"Pliensbachian"
7,-30,-40,-50,12.6719758772546,3021082.90994788,"Pliensbachian"
8,-50,-60,-70,2.37551161872754,1525075.43331748,"Pliensbachian"
9,-70,-80,-90,-0.924689657804382,999793.107183971,"Pliensbachian"
1,90,80,70,-1.59949627356517,3674450.02959855,"Priabonian"
2,70,60,50,4.3725799159831,8289495.34327643,"Priabonian"
3,50,40,30,16.2554297552004,14484949.0284335,"Priabonian"
4,30,20,10,27.8836443958462,15828377.855483,"Priabonian"
