x,y,stage
25.5,30.5,Tithonian
7.5,25.5,Tithonian
36.5,24.5,Tithonian
-6.5,22.5,Tithonian
6.5,22.5,Tithonian
22.5,21.5,Tithonian
6.5,20.5,Tithonian
14.5,19.5,Tithonian
35.5,15.5,Tithonian
21.5,11.5,Tithonian
36.5,-1.5,Tithonian
46.5,-6.5,Tithonian
-47.5,25.5,Toarcian
0.5,38.5,Tortonian
16.5,38.5,Tortonian
14.5,37.5,Tortonian
-3.5,36.5,Tortonian
12.5,36.5,Tortonian
13.5,36.5,Tortonian
14.5,36.5,Tortonian
-5.5,35.5,Tortonian
-4.5,35.5,Tortonian
13.5,35.5,Tortonian
27.5,35.5,Tortonian
12.5,34.5,Tortonian
21.5,34.5,Tortonian
22.5,33.5,Tortonian
23.5,33.5,Tortonian
30.5,33.5,Tortonian
-17.5,31.5,Tortonian
-167.5,24.5,Tortonian
-77.5,23.5,Tortonian
-72.5,18.5,Tortonian
-70.5,16.5,Tortonian
116.5,1.5,Tortonian
115.5,0.5,Tortonian
107.5,-5.5,Tortonian
-173.5,-19.5,Tortonian
17.5,45.5,Turonian
18.5,45.5,Turonian
17.5,39.5,Turonian
26.5,39.5,Turonian
15.5,38.5,Turonian
-71.5,37.5,Turonian
26.5,29.5,Turonian
11.5,24.5,Turonian
29.5,23.5,Turonian
28.5,22.5,Turonian
51.5,30.5,Valanginian
49.5,28.5,Valanginian
28.5,25.5,Valanginian
38.5,23.5,Valanginian
17.5,22.5,Valanginian
33.5,17.5,Valanginian
-33.5,-38.5,Valanginian
11.5,37.5,Ypresian
13.5,37.5,Ypresian
-9.5,24.5,Ypresian
0.5,40.5,Zanclean
32.5,34.5,Zanclean
-79.5,26.5,Zanclean
-72.5,19.5,Zanclean
-71.5,19.5,Zanclean
-73.5,18.5,Zanclean
-76.5,17.5,Zanclean
-69.5,11.5,Zanclean
-84.5,10.5,Zanclean
-83.5,10.5,Zanclean
165.5,10.5,Zanclean
118.5,5.5,Zanclean
117.5,4.5,Zanclean
97.5,0.5,Zanclean
117.5,0.5,Zanclean
129.5,-4.5,Zanclean
120.5,-5.5,Zanclean
120.5,-6.5,Zanclean
113.5,-8.5,Zanclean
123.5,-11.5,Zanclean
124.5,-11.5,Zanclean
122.5,-12.5,Zanclean
123.5,-12.5,Zanclean
-142.5,-15.5,Zanclean
145.5,-19.5,Zanclean
-167.5,-20.5,Zanclean
177.5,-42.5,Zanclean
