"species","x","y"
"reef",118.5,5.5
"reef",119.5,5.5
"reef",120.5,5.5
"reef",121.5,5.5
"reef",124.5,5.5
"reef",125.5,5.5
"reef",157.5,5.5
"reef",169.5,5.5
"reef",72.5,4.5
"reef",73.5,4.5
"reef",95.5,4.5
"reef",96.5,4.5
"reef",103.5,4.5
"reef",107.5,4.5
"reef",108.5,4.5
"reef",118.5,4.5
"reef",119.5,4.5
"reef",125.5,4.5
"reef",126.5,4.5
"reef",-78.5,3.5
"reef",72.5,3.5
"reef",73.5,3.5
"reef",95.5,3.5
"reef",96.5,3.5
"reef",97.5,3.5
"reef",99.5,3.5
"reef",105.5,3.5
"reef",106.5,3.5
"reef",107.5,3.5
"reef",108.5,3.5
"reef",125.5,3.5
"reef",126.5,3.5
"reef",172.5,3.5
"reef",-78.5,2.5
"reef",45.5,2.5
"reef",46.5,2.5
"reef",72.5,2.5
"reef",73.5,2.5
"reef",95.5,2.5
"reef",96.5,2.5
"reef",97.5,2.5
"reef",98.5,2.5
"reef",102.5,2.5
"reef",103.5,2.5
"reef",104.5,2.5
"reef",105.5,2.5
"reef",106.5,2.5
"reef",107.5,2.5
"reef",108.5,2.5
"reef",109.5,2.5
"reef",117.5,2.5
"reef",118.5,2.5
"reef",127.5,2.5
"reef",128.5,2.5
"reef",-157.5,1.5
"reef",45.5,1.5
"reef",73.5,1.5
"reef",97.5,1.5
"reef",98.5,1.5
"reef",103.5,1.5
"reef",104.5,1.5
"reef",107.5,1.5
"reef",118.5,1.5
"reef",119.5,1.5
"reef",121.5,1.5
"reef",124.5,1.5
"reef",125.5,1.5
"reef",127.5,1.5
"reef",128.5,1.5
"reef",173.5,1.5
"reef",73.5,0.5
"reef",97.5,0.5
"reef",98.5,0.5
"reef",99.5,0.5
"reef",103.5,0.5
"reef",104.5,0.5
"reef",106.5,0.5
"reef",107.5,0.5
"reef",108.5,0.5
"reef",117.5,0.5
"reef",118.5,0.5
"reef",119.5,0.5
"reef",120.5,0.5
"reef",121.5,0.5
"reef",122.5,0.5
"reef",123.5,0.5
"reef",124.5,0.5
"reef",127.5,0.5
"reef",128.5,0.5
"reef",129.5,0.5
"reef",130.5,0.5
"reef",-91.5,-0.5
"reef",-90.5,-0.5
"reef",-89.5,-0.5
"reef",-44.5,-0.5
"reef",42.5,-0.5
"reef",97.5,-0.5
"reef",98.5,-0.5
"reef",99.5,-0.5
"reef",100.5,-0.5
"reef",104.5,-0.5
"reef",105.5,-0.5
"reef",119.5,-0.5
"reef",120.5,-0.5
"reef",121.5,-0.5
"reef",122.5,-0.5
"reef",123.5,-0.5
"reef",127.5,-0.5
"reef",128.5,-0.5
"reef",129.5,-0.5
"reef",130.5,-0.5
"reef",131.5,-0.5
"reef",134.5,-0.5
"reef",135.5,-0.5
"reef",-90.5,-1.5
"reef",-89.5,-1.5
"reef",41.5,-1.5
"reef",42.5,-1.5
"reef",98.5,-1.5
"reef",99.5,-1.5
"reef",100.5,-1.5
"reef",105.5,-1.5
"reef",106.5,-1.5
"reef",108.5,-1.5
"reef",109.5,-1.5
"reef",120.5,-1.5
"reef",121.5,-1.5
"reef",122.5,-1.5
"reef",123.5,-1.5
"reef",124.5,-1.5
"reef",125.5,-1.5
"reef",126.5,-1.5
"reef",127.5,-1.5
"reef",128.5,-1.5
"reef",129.5,-1.5
"reef",130.5,-1.5
"reef",131.5,-1.5
"reef",134.5,-1.5
"reef",135.5,-1.5
"reef",136.5,-1.5
"reef",137.5,-1.5
"reef",138.5,-1.5
"reef",142.5,-1.5
"reef",144.5,-1.5
"reef",146.5,-1.5
"reef",147.5,-1.5
"reef",148.5,-1.5
"reef",149.5,-1.5
"reef",150.5,-1.5
"reef",174.5,-1.5
"reef",40.5,-2.5
"reef",41.5,-2.5
"reef",99.5,-2.5
"reef",100.5,-2.5
"reef",105.5,-2.5
"reef",106.5,-2.5
"reef",107.5,-2.5
"reef",108.5,-2.5
"reef",109.5,-2.5
"reef",110.5,-2.5
"reef",116.5,-2.5
"reef",117.5,-2.5
"reef",118.5,-2.5
"reef",119.5,-2.5
"reef",120.5,-2.5
"reef",121.5,-2.5
"reef",122.5,-2.5
"reef",123.5,-2.5
"reef",124.5,-2.5
"reef",125.5,-2.5
"reef",127.5,-2.5
"reef",128.5,-2.5
"reef",129.5,-2.5
"reef",130.5,-2.5
"reef",131.5,-2.5
"reef",134.5,-2.5
"reef",135.5,-2.5
"reef",136.5,-2.5
"reef",146.5,-2.5
"reef",147.5,-2.5
"reef",149.5,-2.5
"reef",150.5,-2.5
"reef",151.5,-2.5
"reef",39.5,-3.5
"reef",40.5,-3.5
"reef",55.5,-3.5
"reef",100.5,-3.5
"reef",106.5,-3.5
"reef",107.5,-3.5
"reef",108.5,-3.5
"reef",115.5,-3.5
"reef",116.5,-3.5
"reef",117.5,-3.5
"reef",118.5,-3.5
"reef",119.5,-3.5
"reef",120.5,-3.5
"reef",121.5,-3.5
"reef",122.5,-3.5
"reef",126.5,-3.5
"reef",127.5,-3.5
"reef",128.5,-3.5
"reef",129.5,-3.5
"reef",130.5,-3.5
"reef",131.5,-3.5
"reef",132.5,-3.5
"reef",133.5,-3.5
"reef",134.5,-3.5
"reef",135.5,-3.5
"reef",144.5,-3.5
"reef",151.5,-3.5
"reef",152.5,-3.5
"reef",153.5,-3.5
"reef",154.5,-3.5
"reef",39.5,-4.5
"reef",55.5,-4.5
"reef",56.5,-4.5
"reef",101.5,-4.5
"reef",115.5,-4.5
"reef",116.5,-4.5
"reef",117.5,-4.5
"reef",118.5,-4.5
"reef",119.5,-4.5
"reef",120.5,-4.5
"reef",121.5,-4.5
"reef",122.5,-4.5
"reef",123.5,-4.5
"reef",129.5,-4.5
"reef",131.5,-4.5
"reef",132.5,-4.5
"reef",133.5,-4.5
"reef",134.5,-4.5
"reef",145.5,-4.5
"reef",151.5,-4.5
"reef",152.5,-4.5
"reef",153.5,-4.5
"reef",154.5,-4.5
"reef",-35.5,-5.5
"reef",38.5,-5.5
"reef",39.5,-5.5
"reef",55.5,-5.5
"reef",71.5,-5.5
"reef",72.5,-5.5
"reef",102.5,-5.5
"reef",103.5,-5.5
"reef",104.5,-5.5
"reef",105.5,-5.5
"reef",106.5,-5.5
"reef",108.5,-5.5
"reef",110.5,-5.5
"reef",112.5,-5.5
"reef",114.5,-5.5
"reef",116.5,-5.5
"reef",117.5,-5.5
"reef",118.5,-5.5
"reef",119.5,-5.5
"reef",120.5,-5.5
"reef",121.5,-5.5
"reef",122.5,-5.5
"reef",123.5,-5.5
"reef",131.5,-5.5
"reef",132.5,-5.5
"reef",133.5,-5.5
"reef",134.5,-5.5
"reef",145.5,-5.5
"reef",146.5,-5.5
"reef",147.5,-5.5
"reef",148.5,-5.5
"reef",149.5,-5.5
"reef",150.5,-5.5
"reef",151.5,-5.5
"reef",154.5,-5.5
"reef",155.5,-5.5
"reef",159.5,-5.5
"reef",-35.5,-6.5
"reef",-34.5,-6.5
"reef",38.5,-6.5
"reef",39.5,-6.5
"reef",71.5,-6.5
"reef",72.5,-6.5
"reef",105.5,-6.5
"reef",106.5,-6.5
"reef",107.5,-6.5
"reef",109.5,-6.5
"reef",110.5,-6.5
"reef",111.5,-6.5
"reef",112.5,-6.5
"reef",113.5,-6.5
"reef",114.5,-6.5
"reef",115.5,-6.5
"reef",116.5,-6.5
