"collection_no","stage_bin","lng","lat","PLong","PLat","x","y","stage"
32516,"Serravallian",20.799999,50.466667,17.675400672,49.8151624990001,17.675400672,49.8151624990001,"Serravallian"
38823,"Serravallian",20.516666,50.666668,17.383610708,50.0077259450001,17.383610708,50.0077259450001,"Serravallian"
38079,"Sinemurian",-71.716667,-16.266666,-28.812262641,-28.440430594,-28.812262641,-28.440430594,"Sinemurian"
36961,"Sinemurian",-75.360001,-12.002,-33.933992151,-25.3094697499999,-33.933992151,-25.3094697499999,"Sinemurian"
33570,"Sinemurian",-1,32,1.22276405100007,21.055704113,1.22276405100007,21.055704113,"Sinemurian"
33568,"Sinemurian",-1.95,32.533001,1.68322347400004,21.978019605,1.68322347400004,21.978019605,"Sinemurian"
33571,"Sinemurian",-1.95,32.533001,1.68322347400004,21.978019605,1.68322347400004,21.978019605,"Sinemurian"
67012,"Sinemurian",73.550003,37.783333,95.203906434,58.735429352,95.203906434,58.735429352,"Sinemurian"
67014,"Sinemurian",74.01667,38.166668,95.6782376640001,59.2071176140001,95.6782376640001,59.2071176140001,"Sinemurian"
197898,"Sinemurian",3.258333,43.784721,20.1965434100001,35.7862857310001,20.1965434100001,35.7862857310001,"Sinemurian"
90243,"Sinemurian",4.403889,44.640556,20.27941452,36.9703988430001,20.27941452,36.9703988430001,"Sinemurian"
169407,"Sinemurian",4.404,44.640999,20.2791256580001,36.97078514,20.2791256580001,36.97078514,"Sinemurian"
21251,"Sinemurian",-127.133331,54.383331,-62.0604126269999,22.506565623,-62.0604126269999,22.506565623,"Sinemurian"
85333,"Thanetian",-85.25,10.216667,-88.224294995,8.55573162500002,-88.224294995,8.55573162500002,"Thanetian"
45854,"Thanetian",45.049999,10.333333,39.5949877420001,-0.159717790999935,39.5949877420001,-0.159717790999935,"Thanetian"
11289,"Thanetian",67.833336,24.75,58.123853108,-3.80172803399995,58.123853108,-3.80172803399995,"Thanetian"
34686,"Thanetian",29.916668,25.666668,25.5341760160001,15.577805336,25.5341760160001,15.577805336,"Thanetian"
69637,"Thanetian",27.35,26.433332,23.1855703140001,16.477513807,23.1855703140001,16.477513807,"Thanetian"
214660,"Thanetian",20.754168,29.282499,17.2868192780001,19.7460989780001,17.2868192780001,19.7460989780001,"Thanetian"
214664,"Thanetian",20.754168,29.282499,17.2868192780001,19.7460989780001,17.2868192780001,19.7460989780001,"Thanetian"
34652,"Thanetian",-87.916664,31.433332,-69.7564190149999,32.8135272540001,-69.7564190149999,32.8135272540001,"Thanetian"
214680,"Thanetian",47.833332,33.283333,43.187080123,19.2616282390001,43.187080123,19.2616282390001,"Thanetian"
155376,"Thanetian",35,37.616669,32.4661997220001,29.176084942,32.4661997220001,29.176084942,"Thanetian"
24270,"Thanetian",14.166667,42.166668,14.86484146,32.7284867610001,14.86484146,32.7284867610001,"Thanetian"
68903,"Thanetian",-2.083333,42.866669,-2.71541654599997,37.2116113100001,-2.71541654599997,37.2116113100001,"Thanetian"
80825,"Thanetian",13.970278,45.684723,16.42100773,36.0068772130001,16.42100773,36.0068772130001,"Thanetian"
80827,"Thanetian",13.991667,45.706669,16.448979163,36.020766365,16.448979163,36.020766365,"Thanetian"
79294,"Thanetian",14,45.733334,16.4690641070001,36.0426992100001,16.4690641070001,36.0426992100001,"Thanetian"
216065,"Thanetian",17.7325,48.795834,14.5501094750001,43.8796645130001,14.5501094750001,43.8796645130001,"Thanetian"
216162,"Thanetian",22.315001,48.808887,17.8118331860001,41.92496644,17.8118331860001,41.92496644,"Thanetian"
216157,"Thanetian",21.463057,49.055,17.0132347540001,42.0719077890001,17.0132347540001,42.0719077890001,"Thanetian"
88272,"Thanetian",18.4,49.099998,14.3435264500001,41.7846982020001,14.3435264500001,41.7846982020001,"Thanetian"
88275,"Thanetian",18.450001,49.099998,14.3868619630001,41.789960637,14.3868619630001,41.789960637,"Thanetian"
216103,"Thanetian",18.442778,49.107498,14.3789840150001,41.7966025220001,14.3789840150001,41.7966025220001,"Thanetian"
88185,"Thanetian",18.450001,49.116669,14.383265153,41.8064145810001,14.383265153,41.8064145810001,"Thanetian"
88183,"Thanetian",18.616667,49.216667,15.312728076,44.3419102080001,15.312728076,44.3419102080001,"Thanetian"
88273,"Thanetian",18.616667,49.216667,15.312728076,44.3419102080001,15.312728076,44.3419102080001,"Thanetian"
88274,"Thanetian",18.616667,49.216667,15.312728076,44.3419102080001,15.312728076,44.3419102080001,"Thanetian"
216117,"Thanetian",18.698889,49.223057,15.3869496570001,44.3522908400001,15.3869496570001,44.3522908400001,"Thanetian"
88184,"Thanetian",18.683332,49.233334,15.371706283,44.361779991,15.371706283,44.361779991,"Thanetian"
216150,"Thanetian",19.650557,49.292221,15.385504897,42.107415114,15.385504897,42.107415114,"Thanetian"
216154,"Thanetian",20.496111,49.378613,17.0077733790001,44.597285217,17.0077733790001,44.597285217,"Thanetian"
216152,"Thanetian",20.448334,49.380001,16.9640724070001,44.5962230550001,16.9640724070001,44.5962230550001,"Thanetian"
116552,"Tithonian",49.496387,33.191113,46.790563025,-6.47661060799993,46.790563025,-6.47661060799993,"Tithonian"
68309,"Tithonian",132.633331,33.366669,151.771737754,52.058302396,151.771737754,52.058302396,"Tithonian"
68310,"Tithonian",133.083328,33.466667,152.369786628,52.1857847580001,152.369786628,52.1857847580001,"Tithonian"
91382,"Tithonian",133.278336,33.48,152.63295717,52.210645196,152.63295717,52.210645196,"Tithonian"
91381,"Tithonian",133.183334,33.483334,152.503586572,52.208374055,152.503586572,52.208374055,"Tithonian"
91380,"Tithonian",133.316666,33.5,152.682723486,52.2328350550001,152.682723486,52.2328350550001,"Tithonian"
91383,"Tithonian",133.28334,33.516666,152.635550425,52.247513681,152.635550425,52.247513681,"Tithonian"
91384,"Tithonian",133.183334,33.650002,152.484185003,52.374619055,152.484185003,52.374619055,"Tithonian"
91386,"Tithonian",134.46666,33.799999,154.216999602,52.594295447,154.216999602,52.594295447,"Tithonian"
34869,"Tithonian",35.711109,33.922222,36.5246964410001,-1.21622507999996,36.5246964410001,-1.21622507999996,"Tithonian"
34551,"Tithonian",135.166672,34.016666,155.154292733,52.8435647200001,155.154292733,52.8435647200001,"Tithonian"
34552,"Tithonian",135.166672,34.016666,155.154292733,52.8435647200001,155.154292733,52.8435647200001,"Tithonian"
34553,"Tithonian",135.166672,34.016666,155.154292733,52.8435647200001,155.154292733,52.8435647200001,"Tithonian"
34554,"Tithonian",135.183334,34.016666,155.177125806,52.844304116,155.177125806,52.844304116,"Tithonian"
68609,"Tithonian",-7.833333,37.099998,6.77394468200004,20.5076680660001,6.77394468200004,20.5076680660001,"Tithonian"
68259,"Tithonian",13.966667,37.866669,21.011807031,11.423065557,21.011807031,11.423065557,"Tithonian"
68238,"Tithonian",-9.133333,38.933334,6.79060192100007,22.607562624,6.79060192100007,22.607562624,"Tithonian"
78481,"Tithonian",46.666668,39.666668,57.033613034,33.4282700850001,57.033613034,33.4282700850001,"Tithonian"
78484,"Tithonian",46.799999,39.666668,57.1415280830001,33.4775347730001,57.1415280830001,33.4775347730001,"Tithonian"
78489,"Tithonian",46.583332,39.700001,56.947027172,33.4267471520001,56.947027172,33.4267471520001,"Tithonian"
78485,"Tithonian",46.933334,39.700001,57.2302583200001,33.55607088,57.2302583200001,33.55607088,"Tithonian"
78487,"Tithonian",46.933334,39.716667,57.22064219,33.570684208,57.22064219,33.570684208,"Tithonian"
78490,"Tithonian",46.733334,39.733334,57.049187223,33.511375576,57.049187223,33.511375576,"Tithonian"
78480,"Tithonian",46.866669,39.900002,56.5915154990001,33.773425135,56.5915154990001,33.773425135,"Tithonian"
34610,"Tithonian",-1.416667,40.150002,14.1333624440001,19.289675867,14.1333624440001,19.289675867,"Tithonian"
196863,"Tithonian",9.616667,40.266666,22.9139474770001,21.431476575,22.9139474770001,21.431476575,"Tithonian"
196864,"Tithonian",9.616667,40.266666,22.9139474770001,21.431476575,22.9139474770001,21.431476575,"Tithonian"
196865,"Tithonian",9.616667,40.266666,22.9139474770001,21.431476575,22.9139474770001,21.431476575,"Tithonian"
78478,"Tithonian",45.716667,40.483334,55.3445500440001,33.973664097,55.3445500440001,33.973664097,"Tithonian"
34584,"Tithonian",-12.25,42.133331,7.49650552100007,25.003734525,7.49650552100007,25.003734525,"Tithonian"
151493,"Tithonian",22.883333,42.733334,37.897550843,23.9513967180001,37.897550843,23.9513967180001,"Tithonian"
57154,"Tithonian",22.583332,42.916668,37.584357482,23.961736527,37.584357482,23.961736527,"Tithonian"
89994,"Tithonian",44.616669,42.916668,53.5892333800001,35.55816558,53.5892333800001,35.55816558,"Tithonian"
57155,"Tithonian",21.283333,43.116669,36.6270336760001,23.542627598,36.6270336760001,23.542627598,"Tithonian"
85935,"Tithonian",40.833332,43.333332,50.3975868300001,34.5714510500001,50.3975868300001,34.5714510500001,"Tithonian"
85933,"Tithonian",40.666668,43.433334,50.2100873970001,34.600503351,50.2100873970001,34.600503351,"Tithonian"
67978,"Tithonian",-60.831669,43.690834,-6.32802407299994,22.8295458280001,-6.32802407299994,22.8295458280001,"Tithonian"
57151,"Tithonian",22.383333,43.816666,36.8535146070001,24.584049517,36.8535146070001,24.584049517,"Tithonian"
57153,"Tithonian",21.950001,43.866669,36.548336358,24.432141368,36.548336358,24.432141368,"Tithonian"
57152,"Tithonian",21.533333,43.900002,36.264829558,24.2753244670001,36.264829558,24.2753244670001,"Tithonian"
57150,"Tithonian",22.266666,44.016666,36.64547722,24.690372235,36.64547722,24.690372235,"Tithonian"
57149,"Tithonian",21.916668,44.400002,36.168302741,24.839188431,36.168302741,24.839188431,"Tithonian"
62370,"Tithonian",34.116669,44.450001,44.62178965,33.2686036960001,44.62178965,33.2686036960001,"Tithonian"
85809,"Tithonian",14.633333,45.283333,35.2520932690001,15.52491767,35.2520932690001,15.52491767,"Tithonian"
23887,"Tithonian",9.85,48.383331,24.9267331980001,30.036697023,24.9267331980001,30.036697023,"Tithonian"
23903,"Tithonian",9.833333,48.466667,24.8800837370001,30.110436497,24.8800837370001,30.110436497,"Tithonian"
23902,"Tithonian",9.55,48.5,24.6637033430001,30.0739496740001,24.6637033430001,30.0739496740001,"Tithonian"
34398,"Tithonian",10.016667,48.616669,24.948274957,30.2941770620001,24.948274957,30.2941770620001,"Tithonian"
23904,"Tithonian",10.216667,48.683334,25.0628821,30.404274258,25.0628821,30.404274258,"Tithonian"
34608,"Tithonian",11.183333,48.75,25.7233745230001,30.7004016820001,25.7233745230001,30.7004016820001,"Tithonian"
31547,"Tithonian",11.05,48.833332,25.5925801670001,30.7453227230001,25.5925801670001,30.7453227230001,"Tithonian"
31548,"Tithonian",11.05,48.833332,25.5925801670001,30.7453227230001,25.5925801670001,30.7453227230001,"Tithonian"
31549,"Tithonian",11.05,48.833332,25.5925801670001,30.7453227230001,25.5925801670001,30.7453227230001,"Tithonian"
68783,"Tithonian",16.666668,48.866669,29.572454248,32.2070032680001,29.572454248,32.2070032680001,"Tithonian"
62220,"Tithonian",17.795834,49.516666,30.056453961,33.1019734760001,30.056453961,33.1019734760001,"Tithonian"
62219,"Tithonian",17.966667,49.516666,30.176986479,33.1479219120001,30.176986479,33.1479219120001,"Tithonian"
36539,"Tithonian",18.233334,49.566666,30.3402400050001,33.2653288810001,30.3402400050001,33.2653288810001,"Tithonian"
36537,"Tithonian",18,49.583332,30.1674352520001,33.2175504740001,30.1674352520001,33.2175504740001,"Tithonian"
31283,"Tithonian",18.116667,49.583332,30.2496846220001,33.248988743,30.2496846220001,33.248988743,"Tithonian"
31284,"Tithonian",18.116667,49.583332,30.2496846220001,33.248988743,30.2496846220001,33.248988743,"Tithonian"
31285,"Tithonian",18.116667,49.583332,30.2496846220001,33.248988743,30.2496846220001,33.248988743,"Tithonian"
36533,"Tithonian",18.116667,49.583332,30.2496846220001,33.248988743,30.2496846220001,33.248988743,"Tithonian"
36538,"Tithonian",18.549999,49.716667,30.488274287,33.4872939950001,30.488274287,33.4872939950001,"Tithonian"
62343,"Tithonian",20.700001,49.716667,32.0137277270001,33.9834967530001,32.0137277270001,33.9834967530001,"Tithonian"
36540,"Tithonian",18.566668,49.766666,30.474859565,33.5372023,30.474859565,33.5372023,"Tithonian"
64117,"Tithonian",22.733334,49.766666,33.4209234790001,34.5718070570001,33.4209234790001,34.5718070570001,"Tithonian"
36544,"Tithonian",18.783333,49.816666,30.6020031240001,33.6413487770001,30.6020031240001,33.6413487770001,"Tithonian"
64116,"Tithonian",19.483334,49.933334,31.0343626170001,33.93800386,31.0343626170001,33.93800386,"Tithonian"
133383,"Tithonian",20.983334,50.166668,31.9849649280001,34.4684541340001,31.9849649280001,34.4684541340001,"Tithonian"
133387,"Tithonian",20.983334,50.166668,31.9849649280001,34.4684541340001,31.9849649280001,34.4684541340001,"Tithonian"
133384,"Tithonian",20.950001,50.183334,31.952955425,34.4745465190001,31.952955425,34.4745465190001,"Tithonian"
133386,"Tithonian",20.950001,50.183334,31.952955425,34.4745465190001,31.952955425,34.4745465190001,"Tithonian"
133390,"Tithonian",20.950001,50.183334,31.952955425,34.4745465190001,31.952955425,34.4745465190001,"Tithonian"
133400,"Tithonian",21,50.216667,31.9710679030001,34.5182794040001,31.9710679030001,34.5182794040001,"Tithonian"
133394,"Tithonian",20.933332,50.233334,31.9156035440001,34.515364676,31.9156035440001,34.515364676,"Tithonian"
33615,"Toarcian",-5,34,3.22329902800004,26.6021988480001,3.22329902800004,26.6021988480001,"Toarcian"
33618,"Toarcian",-5,34,3.22329902800004,26.6021988480001,3.22329902800004,26.6021988480001,"Toarcian"
33594,"Toarcian",-5.462,34.014999,2.84579833100003,26.7842699550001,2.84579833100003,26.7842699550001,"Toarcian"
33613,"Toarcian",-5.517,34.049999,2.81726215400005,26.8357854340001,2.81726215400005,26.8357854340001,"Toarcian"
33617,"Toarcian",-5.5,34.099998,2.85615632200006,26.874439341,2.85615632200006,26.874439341,"Toarcian"
42429,"Toarcian",-118.349998,38.483334,-47.7630714539999,25.2790134640001,-47.7630714539999,25.2790134640001,"Toarcian"
34850,"Tortonian",175.666672,-41.316666,179.821584869,-44.2211070719999,179.821584869,-44.2211070719999,"Tortonian"
124859,"Tortonian",-178.98555,-17.289167,-173.040665296,-19.8934192689999,-173.040665296,-19.8934192689999,"Tortonian"
124860,"Tortonian",-178.98555,-17.289167,-173.040665296,-19.8934192689999,-173.040665296,-19.8934192689999,"Tortonian"
164765,"Tortonian",108,-7,107.099023765,-5.58928204999995,107.099023765,-5.58928204999995,"Tortonian"
45341,"Tortonian",108.666664,-7,107.763671236,-5.57309059599993,107.763671236,-5.57309059599993,"Tortonian"
164777,"Tortonian",117,-1,115.938480453,0.635233294000045,115.938480453,0.635233294000045,"Tortonian"
164778,"Tortonian",117,-1,115.938480453,0.635233294000045,115.938480453,0.635233294000045,"Tortonian"
110020,"Tortonian",117.283333,-0.316667,116.20674824,1.32462747100004,116.20674824,1.32462747100004,"Tortonian"
164750,"Tortonian",117,0,115.916427455,1.63499019000005,115.916427455,1.63499019000005,"Tortonian"
164753,"Tortonian",117,0,115.916427455,1.63499019000005,115.916427455,1.63499019000005,"Tortonian"
109008,"Tortonian",117.316666,0.15,116.229860671,1.79191258600002,116.229860671,1.79191258600002,"Tortonian"
168772,"Tortonian",117.73333,0.3,116.643374124,1.95095724900006,116.643374124,1.95095724900006,"Tortonian"
71245,"Tortonian",-67.883331,18.083332,-70.1759948009999,16.8554395800001,-70.1759948009999,16.8554395800001,"Tortonian"
84953,"Tortonian",-71.183334,19.450001,-72.3507115789999,18.460579226,-72.3507115789999,18.460579226,"Tortonian"
94139,"Tortonian",-71.083336,19.450001,-72.2513444159999,18.463262619,-72.2513444159999,18.463262619,"Tortonian"
94141,"Tortonian",-71.083336,19.450001,-72.2513444159999,18.463262619,-72.2513444159999,18.463262619,"Tortonian"
94142,"Tortonian",-71.083336,19.450001,-72.2513444159999,18.463262619,-72.2513444159999,18.463262619,"Tortonian"
93721,"Tortonian",-71.066666,19.450001,-72.2347794359999,18.463710242,-72.2347794359999,18.463710242,"Tortonian"
93772,"Tortonian",-71.183334,19.466667,-72.351211367,18.4772384830001,-72.351211367,18.4772384830001,"Tortonian"
94093,"Tortonian",-71.183334,19.466667,-72.351211367,18.4772384830001,-72.351211367,18.4772384830001,"Tortonian"
84978,"Tortonian",-71.183334,19.5,-72.352211263,18.510557992,-72.352211263,18.510557992,"Tortonian"
93719,"Tortonian",-71.183334,19.5,-72.352211263,18.510557992,-72.352211263,18.510557992,"Tortonian"
93794,"Tortonian",-71.166664,19.5,-72.335646813,18.511005106,-72.335646813,18.511005106,"Tortonian"
84985,"Tortonian",-71.283333,19.533333,-72.4525753899999,18.5411971680001,-72.4525753899999,18.5411971680001,"Tortonian"
41065,"Tortonian",-71.183334,19.533333,-72.35321155,18.5438774960001,-72.35321155,18.5438774960001,"Tortonian"
41112,"Tortonian",-71.183334,19.533333,-72.35321155,18.5438774960001,-72.35321155,18.5438774960001,"Tortonian"
34515,"Tortonian",-71.400002,19.666668,-72.572496718,18.671355072,-72.572496718,18.671355072,"Tortonian"
34516,"Tortonian",-71.400002,19.666668,-72.572496718,18.671355072,-72.572496718,18.671355072,"Tortonian"
34517,"Tortonian",-71.400002,19.666668,-72.572496718,18.671355072,-72.572496718,18.671355072,"Tortonian"
73641,"Tortonian",-79.111664,24.646389,-77.1280425469999,23.9518643440001,-77.1280425469999,23.9518643440001,"Tortonian"
34413,"Tortonian",34.900002,28.166668,33.0915556370001,26.146317106,33.0915556370001,26.146317106,"Tortonian"
22977,"Tortonian",-177.399994,28.233334,-167.264045883,24.1960491730001,-167.264045883,24.1960491730001,"Tortonian"
